Province,Farm_ID,c1_Soil_pH,c2_CaCO3,c3_OM,c4_K2O,c5_Sand,c6_Clay,c7_Nitrogen,c8_Phosphorous,c9_Potassium,c10_SowingRate,Y_GrainYield
Province_02,Farm_13,,21.46,2.44,373.17,,36.95,46.36,,15.85,,3092.67
Province_02,Farm_14,6.95,10.12,0.83,78.3,58.8,11.43,,13.8,18.0,237.77,4385.75
Province_02,Farm_15,7.32,19.03,0.88,285.59,50.78,46.53,37.17,41.63,9.78,116.65,4017.85
Province_02,Farm_16,7.31,17.76,0.91,51.57,39.01,15.89,40.02,3.04,8.08,,3831.71
Province_02,Farm_17,8.07,29.26,,379.88,43.01,,1.74,,24.89,,4085.01
Province_02,Farm_18,7.76,12.85,2.98,147.87,,45.44,4.09,11.85,19.69,193.56,4064.87
Province_02,Farm_19,6.99,27.96,1.1,363.8,74.48,48.84,3.76,34.52,24.34,210.28,4145.17
Province_02,Farm_20,6.15,4.17,2.08,270.71,,42.01,35.52,12.78,3.88,205.4,3509.06
Province_02,Farm_21,6.5,16.37,1.77,,21.47,38.6,39.37,42.6,11.18,199.03,3631.73
Province_02,Farm_22,7.96,24.85,0.94,362.28,68.15,22.68,25.56,27.93,17.57,295.54,4769.66
Province_02,Farm_23,6.85,9.64,2.28,,56.08,49.63,49.85,45.62,1.91,228.25,3777.84
Province_02,Farm_24,6.37,17.5,1.53,260.49,,40.32,22.27,19.42,24.3,223.82,3578.54
Province_02,Farm_25,7.14,4.64,3.67,247.46,50.16,,20.26,26.61,8.03,244.06,4136.82
Province_02,Farm_26,,15.58,1.65,247.61,45.71,17.54,34.57,37.83,10.04,115.71,3956.58
Province_02,Farm_27,6.77,3.42,1.31,363.3,53.45,22.04,,2.31,4.19,118.16,3412.49
Province_02,Farm_28,7.32,10.43,2.08,,42.31,11.77,10.64,20.67,22.58,259.4,4123.53
Province_02,Farm_29,7.91,7.99,3.78,211.98,38.32,21.55,40.6,21.21,4.99,130.61,3904.92
Province_02,Farm_30,7.42,6.13,1.63,135.75,39.87,43.97,22.7,38.49,4.58,189.29,4502.96
Province_02,Farm_31,7.55,,1.14,97.84,21.78,49.28,1.22,18.55,17.78,,2833.7
Province_03,Farm_1,,,2.53,312.82,24.36,23.2,15.1,39.55,,230.37,3563.77
Province_03,Farm_2,8.4,20.93,1.68,190.02,46.62,44.5,28.34,29.88,15.47,269.48,4299.2
Province_03,Farm_3,8.12,22.55,1.23,300.43,50.77,35.86,5.29,18.79,0.63,230.62,3541.17
Province_03,Farm_4,,10.8,1.97,154.95,74.39,,,42.86,22.23,,3657.26
Province_03,Farm_5,6.51,11.44,0.79,82.8,,,23.68,9.52,12.47,143.78,4502.61
Province_03,Farm_6,6.47,17.49,2.79,361.3,,10.64,49.99,12.5,24.87,150.83,3204.93
Province_03,Farm_7,7.15,0.61,1.73,282.33,45.55,48.2,24.83,28.38,4.6,151.99,3327.02
Province_03,Farm_8,,0.82,0.74,385.83,40.16,13.92,16.15,35.84,,274.65,3599.79
Province_03,Farm_9,7.07,19.66,2.26,369.48,60.92,48.02,48.43,27.88,15.58,187.57,4612.09
Province_03,Farm_10,6.52,,0.93,136.72,48.64,23.49,40.7,21.99,,287.96,4185.75
Province_03,Farm_11,6.53,24.96,1.2,,,10.49,6.74,41.94,2.4,272.17,4649.19
Province_03,Farm_12,6.9,7.9,0.66,373.51,49.55,20.47,6.8,21.13,18.27,136.25,2831.03
Province_03,Farm_13,6.03,1.3,3.56,207.15,62.17,23.37,32.21,38.5,5.41,241.37,3626.05
Province_03,Farm_14,8.08,2.48,3.97,110.06,53.77,27.74,19.22,12.6,12.59,299.11,4334.33
Province_03,Farm_15,8.07,18.81,3.32,191.73,59.5,32.81,19.38,41.59,7.64,166.0,3728.55
Province_03,Farm_16,8.04,,1.51,339.48,44.85,40.44,47.81,36.19,23.73,149.96,3772.61
Province_03,Farm_17,6.37,5.65,2.67,328.58,56.77,23.96,,8.08,20.53,,4329.56
Province_03,Farm_18,6.18,8.38,0.81,315.83,,,14.62,18.19,0.98,,4361.85
Province_03,Farm_19,7.03,6.13,3.2,96.84,70.57,36.37,1.46,5.66,24.49,182.89,3804.62
Province_03,Farm_20,6.6,0.14,3.71,251.29,63.32,37.28,20.45,9.61,10.67,162.13,3641.88
Province_03,Farm_21,6.05,6.79,3.74,57.26,55.78,18.1,39.02,17.12,7.78,186.56,4370.72
Province_03,Farm_22,7.93,,2.45,223.4,,29.96,15.06,39.64,3.66,133.71,3314.39
Province_03,Farm_23,6.91,7.28,,114.13,71.7,19.65,,18.92,8.2,297.84,3975.72
Province_03,Farm_24,8.26,26.7,0.67,289.43,62.11,36.01,37.21,7.22,2.1,181.03,4313.5
Province_03,Farm_25,7.54,27.05,3.68,282.0,72.85,,40.74,7.01,6.53,267.82,4257.31
Province_03,Farm_26,6.63,25.16,,195.62,40.1,26.51,37.86,9.82,8.76,230.15,4597.65
Province_03,Farm_27,6.22,2.12,0.64,348.99,75.98,34.04,37.84,8.89,22.64,258.78,4990.17
Province_03,Farm_28,7.86,13.39,1.76,57.2,62.07,13.47,48.66,44.33,22.1,,2974.76
Province_03,Farm_29,6.39,27.06,1.28,286.98,76.66,38.4,14.74,3.17,21.36,285.59,4305.05
Province_03,Farm_30,8.16,24.19,2.94,199.79,71.91,17.37,2.8,31.92,13.11,139.5,3656.23
Province_03,Farm_31,6.95,14.27,1.41,379.22,56.43,36.86,19.92,15.22,5.3,285.56,4544.76
Province_03,Farm_32,7.57,25.65,3.54,381.24,78.66,20.98,42.33,4.04,15.6,146.47,3604.3
Province_04,Farm_1,6.19,27.59,0.87,,56.52,38.02,14.28,,6.22,154.26,4692.36
Province_04,Farm_2,8.35,,3.82,341.07,20.68,37.94,12.61,4.05,9.33,184.4,3884.41
Province_04,Farm_3,7.9,10.9,1.92,309.74,23.01,35.8,49.45,0.38,7.39,118.84,3834.97
Province_04,Farm_4,6.62,15.72,3.26,328.03,61.19,,22.31,6.69,0.09,,3883.45
Province_04,Farm_5,8.47,5.15,2.45,206.35,70.78,,18.47,35.99,8.67,217.36,4554.46
Province_04,Farm_6,8.19,,1.94,311.31,65.86,18.11,22.11,37.79,14.06,,3700.08
Province_04,Farm_7,7.09,10.86,2.9,,,13.79,14.31,2.03,8.28,188.78,3409.94
Province_04,Farm_8,,13.92,2.41,206.39,42.54,27.11,5.0,11.97,16.7,259.83,3849.99
Province_04,Farm_9,6.74,2.69,,217.07,35.45,12.44,11.91,27.78,21.79,141.87,4463.51
Province_04,Farm_10,6.56,3.86,3.25,346.84,75.42,39.17,5.24,24.96,11.55,191.9,3530.78
Province_04,Farm_11,6.26,,2.01,160.54,53.06,31.4,,48.54,5.21,278.09,3940.28
Province_04,Farm_12,7.28,6.26,3.47,283.13,28.43,38.82,24.04,39.32,20.54,169.18,3814.18
Province_04,Farm_13,6.09,1.12,2.72,364.43,47.54,34.18,11.95,2.5,17.2,148.17,3413.26
Province_04,Farm_14,6.1,17.43,3.12,384.64,28.97,12.16,31.72,49.27,6.88,272.17,4360.45
Province_04,Farm_15,6.93,6.81,,389.27,58.18,14.36,19.7,46.43,15.05,263.13,3945.03
Province_04,Farm_16,6.68,6.69,,77.0,34.43,48.63,8.56,28.17,1.05,,3905.85
Province_04,Farm_17,8.49,,,292.06,79.32,42.4,27.07,46.95,15.83,127.07,2642.6
Province_04,Farm_18,7.12,13.56,2.33,93.08,46.13,19.02,38.04,44.27,2.41,145.28,3470.83
Province_04,Farm_19,8.44,28.31,2.42,250.82,46.07,36.15,,6.43,12.69,217.24,3464.42
Province_04,Farm_20,8.09,16.96,3.93,230.2,29.91,28.62,24.22,31.98,20.36,156.34,3427.01
Province_04,Farm_21,6.49,19.83,0.73,126.2,25.38,42.02,,27.09,0.65,243.95,3667.74
Province_04,Farm_22,7.77,8.84,0.8,57.03,,36.26,42.2,23.95,15.38,,4292.69
Province_04,Farm_23,7.06,16.02,1.74,255.44,52.17,40.73,17.42,41.82,16.74,182.6,4365.69
Province_04,Farm_24,8.47,,,337.38,37.95,45.39,43.55,49.71,14.32,278.84,3720.08
Province_04,Farm_25,7.05,4.69,2.2,197.33,64.93,32.5,9.95,11.5,6.3,107.5,2946.02
Province_04,Farm_26,8.06,23.96,2.09,108.95,20.08,46.83,17.55,,10.37,266.5,3568.21
Province_04,Farm_27,7.73,26.28,0.87,196.01,43.14,21.9,38.23,2.72,11.33,252.61,3971.79
Province_04,Farm_28,7.61,17.66,0.57,53.1,63.9,41.41,42.29,36.7,1.12,143.68,3364.82
Province_04,Farm_29,7.22,21.51,3.61,,30.21,22.06,0.23,30.87,0.3,160.27,3789.47
Province_04,Farm_30,7.27,7.56,2.08,263.71,57.9,35.62,3.02,31.56,24.24,205.24,3841.76
Province_04,Farm_31,,20.33,1.22,391.98,70.48,,38.46,30.69,12.98,297.93,4298.74
Province_04,Farm_32,8.23,28.92,2.54,334.35,34.47,47.13,0.05,35.92,0.69,192.97,4398.46
Province_04,Farm_33,6.84,0.77,2.93,277.33,,11.11,15.91,18.46,12.73,121.39,4124.55
Province_05,Farm_1,6.49,,3.91,,27.62,,43.88,29.25,6.72,233.6,4701.37
Province_05,Farm_2,6.97,27.04,1.28,243.82,32.87,10.63,31.58,36.54,24.28,182.33,3744.38
Province_05,Farm_3,6.33,3.57,0.96,158.23,70.98,33.92,8.08,41.71,0.15,163.2,4195.69
Province_05,Farm_4,6.45,20.98,2.03,219.26,21.86,41.54,12.09,21.78,,171.53,4054.83
Province_05,Farm_5,7.9,6.47,3.75,238.04,,12.69,43.01,43.82,14.51,,4307.53
Province_05,Farm_6,7.03,4.83,2.06,220.39,48.57,27.72,17.76,48.36,14.11,180.85,3403.31
Province_05,Farm_7,7.28,21.41,2.57,343.17,46.03,40.51,19.06,26.17,20.77,134.93,4853.07
Province_05,Farm_8,7.84,15.19,2.52,378.73,62.36,12.49,3.1,22.68,20.61,277.7,4336.07
Province_05,Farm_9,7.19,,3.69,216.92,39.49,16.32,,43.14,13.72,118.97,3491.55
Province_05,Farm_10,8.18,27.62,2.86,107.98,43.37,47.55,27.8,37.3,4.78,290.64,3667.25
Province_05,Farm_11,6.89,3.67,3.34,396.69,69.58,30.39,6.06,32.83,22.59,100.25,4032.39
Province_05,Farm_12,6.62,4.28,3.38,116.79,22.05,43.91,49.95,27.29,5.16,202.51,4511.03
Province_05,Farm_13,,9.99,1.85,158.28,50.06,37.18,6.71,,3.8,203.02,3721.89
Province_05,Farm_14,6.33,22.8,3.24,225.55,66.92,16.17,7.98,44.21,3.35,218.97,3892.84
Province_05,Farm_15,6.56,24.46,2.37,339.86,52.71,35.39,28.17,,5.4,147.29,3211.76
Province_05,Farm_16,6.28,11.8,1.13,262.23,63.19,30.39,16.57,38.69,19.51,136.83,4312.35
Province_05,Farm_17,,23.49,2.17,160.48,58.77,17.89,21.51,13.43,21.11,234.06,4413.16
Province_05,Farm_18,8.38,2.71,3.48,192.12,35.36,25.85,9.29,30.7,11.43,150.88,3342.48
Province_05,Farm_19,7.87,18.41,1.66,119.11,78.15,17.22,28.0,24.49,19.7,167.7,3202.66
Province_05,Farm_20,7.28,,0.68,263.28,22.91,42.22,17.75,9.08,11.43,100.74,3146.72
Province_05,Farm_21,7.45,9.76,3.79,273.16,62.41,17.88,36.5,15.41,8.73,225.1,3231.31
Province_05,Farm_22,6.05,26.1,,90.3,35.04,16.62,33.14,25.63,12.39,122.96,4137.98
Province_05,Farm_23,7.66,1.82,1.17,349.12,23.21,26.3,26.34,48.97,10.5,214.32,4207.76
Province_05,Farm_24,6.28,14.71,3.49,76.6,31.8,23.38,26.25,23.6,16.57,277.18,3603.25
Province_05,Farm_25,7.23,6.14,0.77,83.65,43.89,48.59,,5.77,6.67,285.44,3758.78
Province_05,Farm_26,6.21,12.39,3.93,290.11,25.14,24.45,39.94,3.94,9.67,129.54,3914.92
Province_05,Farm_27,7.05,11.09,1.73,282.31,58.84,10.79,6.68,21.76,19.49,261.33,4030.21
Province_05,Farm_28,6.76,19.14,1.47,105.89,22.26,10.72,,22.02,12.3,277.52,3397.34
Province_05,Farm_29,8.05,24.99,3.01,144.57,40.62,32.27,49.72,20.75,21.59,234.69,3624.42
Province_05,Farm_30,7.24,2.83,3.42,217.96,48.36,46.86,36.2,5.05,13.95,219.84,4432.57
Province_05,Farm_31,6.7,27.19,3.15,77.55,67.41,34.25,24.11,5.81,9.0,127.06,3775.45
Province_06,Farm_1,6.5,11.76,2.07,63.81,33.02,36.51,12.98,10.57,1.11,206.58,4073.79
Province_06,Farm_2,6.32,9.57,1.51,187.36,29.67,35.12,39.32,0.35,2.74,,3920.14
Province_06,Farm_3,7.45,22.37,2.23,269.3,55.58,35.13,2.69,22.05,7.22,115.1,3830.13
Province_06,Farm_4,7.87,10.85,3.87,241.63,48.29,12.18,7.43,24.98,18.47,173.61,4882.17
Province_06,Farm_5,7.39,6.48,1.4,343.28,29.78,38.0,26.67,2.54,14.41,181.63,3479.15
Province_06,Farm_6,7.14,24.11,1.93,,30.81,16.35,27.72,49.74,3.21,,4154.45
Province_06,Farm_7,6.05,22.83,0.7,299.15,37.96,35.37,7.45,36.79,11.7,131.98,3680.12
Province_06,Farm_8,,22.56,2.08,122.21,,40.69,38.91,38.83,23.61,256.96,4673.95
Province_06,Farm_9,7.94,23.4,1.35,176.01,68.96,27.97,49.59,9.0,14.56,216.03,3603.14
Province_06,Farm_10,7.85,,2.54,95.95,,29.72,13.72,34.17,,200.99,2948.7
Province_06,Farm_11,7.61,16.1,2.19,281.29,69.51,16.48,19.52,46.24,9.9,140.58,3912.6
Province_06,Farm_12,6.71,26.4,1.71,69.36,54.76,18.76,35.71,4.89,15.31,211.53,3725.95
Province_06,Farm_13,8.01,2.46,2.18,134.26,32.79,16.0,47.85,45.87,13.07,154.67,3728.92
Province_06,Farm_14,8.3,10.62,0.58,205.08,33.16,16.72,23.43,,24.6,230.17,4102.52
Province_06,Farm_15,8.2,5.35,2.58,232.05,68.64,20.09,34.31,,22.3,232.64,4285.08
Province_06,Farm_16,7.26,21.77,3.52,141.35,50.53,24.75,13.99,2.03,20.21,263.93,4298.43
Province_06,Farm_17,7.06,,2.97,301.84,49.98,40.25,7.54,,17.57,107.28,4092.72
Province_06,Farm_18,6.78,20.2,2.69,173.69,40.2,14.47,39.15,4.11,6.49,228.32,3187.18
Province_06,Farm_19,6.88,17.76,,,77.92,41.79,32.28,21.27,24.55,192.92,3446.91
Province_06,Farm_20,6.7,9.95,,288.68,66.45,24.75,40.23,,22.13,214.39,4429.99
Province_06,Farm_21,6.77,16.02,0.9,,39.66,41.76,36.98,43.93,22.0,269.0,4404.92
Province_06,Farm_22,6.59,0.59,1.57,393.41,68.32,24.33,2.34,42.05,3.83,225.14,3808.57
Province_06,Farm_23,8.48,19.51,,162.0,34.39,46.16,5.88,14.96,10.1,208.82,3650.12
Province_06,Farm_24,7.26,12.73,2.81,310.09,33.55,31.79,0.35,,,290.86,4327.56
Province_06,Farm_25,6.15,13.0,3.97,57.51,58.41,11.0,,24.66,21.24,270.11,4084.35
Province_06,Farm_26,7.18,4.67,0.98,294.61,,15.35,24.27,26.19,23.35,217.41,4768.84
Province_06,Farm_27,8.16,18.83,,,58.49,12.96,30.08,,22.9,242.47,3658.89
Province_06,Farm_28,6.09,19.32,2.44,355.06,78.4,34.89,1.2,39.96,22.65,249.04,4620.53
Province_06,Farm_29,7.51,17.0,3.99,242.7,42.55,20.7,5.34,26.02,17.91,203.34,4888.29
Province_06,Farm_30,6.74,11.27,2.44,258.58,,22.47,,23.83,6.8,145.66,3563.86
Province_06,Farm_31,7.32,,1.22,123.25,26.38,46.8,26.53,,4.98,215.44,4424.75
Province_06,Farm_32,8.32,9.12,1.08,,79.84,,,25.81,4.24,249.94,4717.28
Province_06,Farm_33,,,1.1,322.91,32.23,15.38,45.34,,9.79,283.05,4981.12
Province_06,Farm_34,,18.5,0.73,235.24,65.91,11.1,2.21,15.85,18.81,193.67,2646.04
Province_07,Farm_1,7.71,8.53,1.07,297.01,25.38,47.75,42.16,17.9,23.53,,4906.79
Province_07,Farm_2,8.5,,1.05,224.76,61.91,15.79,28.49,,22.25,110.05,3462.73
Province_07,Farm_3,7.35,4.1,3.55,300.23,34.98,48.46,15.95,4.75,24.82,100.22,3614.45
Province_07,Farm_4,6.41,3.05,2.14,,79.57,16.0,46.88,,,299.68,4551.2
Province_07,Farm_5,6.97,16.17,1.56,396.63,57.71,,27.66,29.74,16.14,274.01,4614.72
Province_07,Farm_6,6.52,12.86,2.73,224.93,30.28,19.2,,22.49,23.5,239.13,4464.17
Province_07,Farm_7,7.84,11.78,3.73,109.31,69.71,16.89,12.95,20.33,0.58,224.92,3910.12
Province_07,Farm_8,6.99,21.44,2.65,263.91,24.05,10.22,21.63,,2.32,125.79,3197.67
Province_07,Farm_9,6.93,17.0,3.05,331.9,50.86,25.41,30.66,47.63,12.98,247.9,4827.0
Province_07,Farm_10,6.49,20.66,,305.04,51.59,12.64,48.67,13.05,,,4162.36
Province_07,Farm_11,,7.44,1.61,267.04,79.56,48.33,25.56,28.79,15.02,271.22,3855.43
Province_07,Farm_12,6.48,11.78,3.01,86.33,46.83,44.16,6.26,13.3,15.06,202.64,4257.46
Province_07,Farm_13,6.08,2.8,3.51,322.39,77.27,21.12,,,14.55,286.66,3974.66
Province_07,Farm_14,8.42,26.39,2.93,288.29,36.78,22.47,29.81,37.82,8.1,196.11,4697.95
Province_07,Farm_15,8.18,24.57,2.97,159.04,67.03,27.73,10.84,28.41,,141.16,3720.16
Province_07,Farm_16,6.75,18.17,3.4,295.31,42.09,15.49,23.24,35.49,,131.92,2929.24
Province_07,Farm_17,7.8,20.39,3.55,,31.19,18.97,30.55,32.03,0.58,182.96,4611.72
Province_07,Farm_18,8.13,19.28,2.31,101.34,27.92,18.16,17.73,19.7,10.9,105.51,3619.34
Province_07,Farm_19,6.61,1.65,0.53,243.84,54.88,32.97,45.68,32.55,14.13,220.72,4160.86
Province_07,Farm_20,8.18,1.61,3.44,85.81,40.89,15.75,26.18,41.07,23.04,259.64,4074.05
Province_07,Farm_21,,5.93,1.43,248.38,76.59,47.6,11.57,25.93,17.26,265.71,3633.59
Province_07,Farm_22,6.14,29.94,,132.3,40.45,43.61,7.08,4.74,0.54,171.03,3372.13
Province_07,Farm_23,8.18,,3.82,304.8,75.76,25.58,44.19,8.71,23.21,261.37,3959.03
Province_07,Farm_24,7.44,13.88,2.62,334.93,41.24,37.31,25.1,43.32,15.02,138.7,4033.79
Province_07,Farm_25,6.39,21.8,3.66,296.61,71.29,15.13,,5.61,,121.07,4468.38
Province_07,Farm_26,6.01,4.13,0.72,354.45,60.71,,16.23,42.86,4.9,224.49,3878.64
Province_07,Farm_27,8.07,3.22,1.25,374.48,30.12,17.79,38.38,7.67,5.25,255.55,4412.34
Province_07,Farm_28,7.2,20.85,2.35,357.36,33.11,,49.95,6.88,3.4,185.55,4321.53
Province_07,Farm_29,7.59,20.56,0.64,,68.15,42.3,32.36,38.54,24.91,171.53,3699.91
Province_07,Farm_30,7.76,16.81,3.96,,32.46,24.5,28.01,30.51,21.0,,2589.28
Province_07,Farm_31,7.72,13.66,3.62,116.81,66.16,30.8,3.7,,9.02,196.92,3435.23
Province_08,Farm_1,,2.99,3.93,349.46,24.5,45.65,7.26,6.7,4.21,276.63,4134.65
Province_08,Farm_2,8.23,25.98,,175.71,61.67,32.83,15.9,16.59,8.18,215.76,3947.13
Province_08,Farm_3,,4.83,1.01,,32.66,11.22,17.74,24.61,3.68,239.36,4125.58
Province_08,Farm_4,6.13,23.79,1.07,60.67,72.39,26.98,49.56,10.85,2.85,232.17,4459.28
Province_08,Farm_5,8.28,10.66,3.37,240.96,53.21,28.77,46.72,41.58,13.05,290.76,4188.16
Province_08,Farm_6,6.88,18.62,3.74,,20.71,,41.2,9.46,19.13,288.06,4066.53
Province_08,Farm_7,7.8,,,167.55,41.32,28.9,45.24,35.32,9.95,,4103.72
Province_08,Farm_8,6.95,26.44,2.95,289.55,36.57,28.51,33.79,14.31,10.21,,4495.19
Province_08,Farm_9,6.08,29.62,0.78,63.4,40.38,,26.81,4.79,18.37,211.23,3738.84
Province_08,Farm_10,6.03,2.06,2.12,87.37,70.67,29.58,39.5,7.04,,237.28,3748.78
Province_08,Farm_11,8.37,6.19,3.66,228.76,78.94,43.41,46.14,38.06,17.71,297.89,4255.76
Province_08,Farm_12,6.05,13.04,2.64,302.99,70.72,44.18,,35.55,19.03,277.3,4734.25
Province_08,Farm_13,7.95,18.59,3.28,203.77,24.45,18.02,5.64,8.9,,193.1,3673.54
Province_08,Farm_14,6.35,10.71,0.59,,20.82,,34.36,26.91,9.89,179.51,4110.96
Province_08,Farm_15,8.18,24.2,1.54,,27.02,34.34,9.7,10.66,18.76,133.42,3701.13
Province_08,Farm_16,8.43,8.8,2.63,182.4,26.96,12.32,16.35,6.66,17.01,233.94,3871.02
Province_08,Farm_17,7.78,18.07,1.78,252.63,24.53,37.16,2.42,,24.75,241.71,3862.5
Province_08,Farm_18,,6.72,0.63,241.14,,34.89,27.21,41.02,19.36,214.49,4503.06
Province_08,Farm_19,7.05,,3.71,315.21,52.85,37.42,48.67,38.03,,267.78,4570.27
Province_08,Farm_20,6.58,,3.39,273.95,74.11,40.16,,9.25,21.94,159.13,4091.56
Province_08,Farm_21,6.06,13.34,,221.84,43.32,46.14,36.48,18.45,21.71,288.19,3899.56
Province_08,Farm_22,7.68,14.55,3.73,310.77,73.85,31.71,29.0,32.59,20.2,173.5,3183.11
Province_08,Farm_23,7.34,24.64,1.68,222.77,25.74,18.5,23.89,42.42,4.16,203.17,3760.71
Province_08,Farm_24,7.89,12.02,1.85,346.96,73.24,36.63,3.84,0.93,13.27,282.93,4253.72
Province_08,Farm_25,7.56,,2.27,234.19,74.37,10.55,41.38,15.79,4.62,,4159.21
Province_08,Farm_26,8.25,8.91,3.56,369.43,43.21,22.77,6.7,0.36,12.29,205.8,3839.57
Province_08,Farm_27,8.11,3.39,,287.1,30.86,,1.5,6.29,13.32,295.05,4730.06
Province_08,Farm_28,8.09,0.38,3.95,222.93,78.59,27.36,39.54,5.43,0.59,282.85,3966.85
Province_08,Farm_29,7.42,4.57,2.31,281.17,55.09,46.87,15.29,44.03,20.68,197.35,3446.75
Province_08,Farm_30,7.65,3.8,1.13,77.31,24.75,44.86,,20.33,17.68,174.95,4130.63
Province_08,Farm_31,,21.21,2.34,77.51,44.97,38.76,4.78,7.02,22.52,114.8,4203.55
Province_08,Farm_32,7.3,1.68,3.46,108.91,61.07,45.06,1.93,25.07,21.08,273.6,4951.25
Province_08,Farm_33,8.2,22.73,3.55,386.76,67.14,22.66,26.95,12.72,22.26,245.04,3147.12
Province_08,Farm_34,6.47,,,186.59,72.4,,35.82,,,105.66,3321.36
Province_08,Farm_35,8.0,1.64,3.3,131.33,32.5,46.24,28.01,0.68,1.2,240.47,4320.19
